Users,Breed,Age,Training,Rating,Difficulty Level,Dog Response,Duration Preferences
137,Aspin,14,Watch Me,4,Intermediate,Needs More Guidance,Short Sessions
138,Siberian Husky,7,Long Stay Off Leash,3.7,Basic,Quick Learner,No strict preference
139,Beagle,17,Loose Leash Commands,2.3,Advanced,Quick Learner,Medium Sessions
140,Golden Retriever,20,Off Leash Down Stay,5,Advanced,Very Responsive,Medium Sessions
141,Shih Tzu,15,Fetch,5,Intermediate,Quick Learner,Medium Sessions
142,Rottweiler,17,Down Stay,4.2,Advanced,Working on Tricks,Long Sessions
143,Golden Retriever,6,Off Leash Sit,3.1,Advanced,Confident Learner,Long Sessions
144,German Shepherd,18,Long Stay Off Leash,3,Advanced,Quick Learner,Multiple Short Sessions per Day
145,Chihuahua,10,Loose Leash Commands,2,Advanced,Needs More Guidance,Medium Sessions
146,Siberian Husky,17,Off Leash Sit Stay,3.3,Basic,Confident Learner,Multiple Short Sessions per Day
147,German Shepherd,6,Off Leash Commands,4.3,Advanced,Focused but Distractible,Long Sessions
148,Dalmatian,15,Off Leash Down,2.9,Intermediate,Focused but Distractible,No strict preference
149,Beagle,3,Off Leash Down,4,Advanced,Focused but Distractible,No strict preference
150,Dalmatian,20,Sit,3.7,Advanced,Needs More Guidance,Multiple Short Sessions per Day
151,Pomeranian,10,Off Leash Sit,3.3,Advanced,Quick Learner,No strict preference
152,Shih Tzu,19,Off Leash Sit,4.3,Intermediate,Quick Learner,Long Sessions
153,Beagle,6,Sit,2.9,Advanced,Very Responsive,No strict preference
154,Siberian Husky,18,Fetch,4,Advanced,Quick Learner,No strict preference
155,Dalmatian,21,Off Leash Down Stay,3.7,Basic,Working on Tricks,Multiple Short Sessions per Day
156,Pomeranian,16,Play Dead,2.3,Advanced,Confident Learner,Medium Sessions
157,Aspin,8,Off Leash Sit,5,Advanced,Quick Learner,No strict preference
158,Doberman Pinscher,10,Heel,5,Intermediate,Needs More Guidance,Multiple Short Sessions per Day
159,Pomeranian,20,On and Off Sight Stay,4.2,Advanced,Confident Learner,Multiple Short Sessions per Day
160,German Shepherd,19,Sit,3.1,Advanced,Focused but Distractible,Medium Sessions
161,Shih Tzu,18,Off Leash Sit Stay,5,Basic,Confident Learner,Long Sessions
162,Dalmatian,19,Shake Hands,1,Intermediate,Working on Tricks,Long Sessions
163,German Shepherd,19,Long Stay Off Leash,4,Basic,Very Responsive,Long Sessions
164,Shih Tzu,18,Sit Stay,5,Basic,Working on Tricks,Medium Sessions
165,Labrador Retriever,5,Long Stay Off Leash,3.3,Advanced,Focused but Distractible,Short Sessions
166,Labrador Retriever,22,Off Leash Down Stay,4.3,Advanced,Focused but Distractible,No strict preference
167,Beagle,3,Off Leash Sit,2.9,Advanced,Very Responsive,No strict preference
168,Labrador Retriever,21,Roll Over,4,Advanced,Working on Tricks,Long Sessions
169,Doberman Pinscher,11,Loose Leash Walking,3.7,Intermediate,Focused but Distractible,Short Sessions
170,Beagle,20,Long Stay Off Leash,2.3,Advanced,Very Responsive,Short Sessions
171,Rottweiler,13,On and Off Sight Stay,5,Basic,Focused but Distractible,Short Sessions
172,Pomeranian,19,Off Leash Down Stay,3.3,Advanced,Focused but Distractible,Short Sessions
173,Golden Retriever,15,Off Leash Sit,4.3,Basic,Focused but Distractible,Long Sessions
174,Bulldog,12,Off Leash Down Stay,2.9,Advanced,Focused but Distractible,Short Sessions
175,Shih Tzu,6,Off Leash Sit Stay,4,Basic,Needs More Guidance,No strict preference
176,Doberman Pinscher,21,Heel,3.7,Advanced,Quick Learner,Short Sessions
177,Doberman Pinscher,11,Off Leash Sit Stay,2.3,Basic,Quick Learner,Multiple Short Sessions per Day
178,Pug,21,Down Stay,5,Advanced,Very Responsive,Short Sessions
179,Beagle,12,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Short Sessions
180,Bulldog,4,Shake Hands,4.3,Advanced,Working on Tricks,Medium Sessions
181,Doberman Pinscher,23,On and Off Sight Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
182,Dalmatian,14,Off Leash Down,4,Advanced,Quick Learner,Long Sessions
183,Labrador Retriever,7,Off Leash Commands,3.7,Intermediate,Needs More Guidance,Medium Sessions
184,Chihuahua,17,Off Leash Commands,2.3,Advanced,Confident Learner,No strict preference
185,Dalmatian,20,Loose Leash Heeling,5,Intermediate,Focused but Distractible,No strict preference
186,Pomeranian,15,Watch Me,5,Advanced,Confident Learner,No strict preference
187,Aspin,17,Long Stay Off Leash,4.2,Advanced,Working on Tricks,No strict preference
188,Pug,6,Loose Leash Commands,3.1,Advanced,Very Responsive,Multiple Short Sessions per Day
189,Labrador Retriever,18,Off Leash Down Stay,5,Advanced,Working on Tricks,Medium Sessions
190,German Shepherd,10,Fetch,3,Basic,Focused but Distractible,Long Sessions
191,Beagle,17,Down Stay,3,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
192,Chihuahua,20,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
193,Labrador Retriever,15,Long Stay Off Leash,5,Advanced,Working on Tricks,Long Sessions
194,Golden Retriever,17,Loose Leash Commands,3,Advanced,Focused but Distractible,Long Sessions
195,Pomeranian,6,Off Leash Sit Stay,3.3,Intermediate,Focused but Distractible,Short Sessions
196,Chihuahua,18,Off Leash Commands,4.3,Advanced,Focused but Distractible,No strict preference
197,Rottweiler,10,Off Leash Down,2.9,Intermediate,Needs More Guidance,Medium Sessions
198,German Shepherd,17,Off Leash Down,4,Advanced,Quick Learner,Medium Sessions
199,Aspin,11,Sit,3.7,Basic,Quick Learner,Multiple Short Sessions per Day
200,Golden Retriever,20,Off Leash Sit,3.3,Advanced,Very Responsive,Multiple Short Sessions per Day
201,Beagle,13,Off Leash Sit,4.3,Basic,Quick Learner,Multiple Short Sessions per Day
202,Pug,19,Sit,2.9,Advanced,Working on Tricks,Short Sessions
203,Chihuahua,15,Fetch,4,Intermediate,Confident Learner,Multiple Short Sessions per Day
204,Golden Retriever,12,Off Leash Down Stay,3.7,Advanced,Quick Learner,Long Sessions
205,Pomeranian,6,Play Dead,2.3,Basic,Needs More Guidance,Medium Sessions
206,Pomeranian,21,Off Leash Sit,5,Advanced,Confident Learner,No strict preference
207,Dalmatian,11,Heel,5,Advanced,Focused but Distractible,Short Sessions
208,Chihuahua,21,On and Off Sight Stay,3.3,Advanced,Confident Learner,Long Sessions
209,Beagle,12,Sit,4.3,Intermediate,Working on Tricks,Short Sessions
210,Beagle,4,Off Leash Sit Stay,2.9,Intermediate,Very Responsive,Multiple Short Sessions per Day
211,Pug,23,Shake Hands,4,Advanced,Working on Tricks,Long Sessions
212,Pomeranian,14,Long Stay Off Leash,3.7,Advanced,Focused but Distractible,Medium Sessions
213,Rottweiler,7,Sit Stay,2.3,Advanced,Focused but Distractible,Multiple Short Sessions per Day
214,Pug,17,Long Stay Off Leash,5,Advanced,Very Responsive,No strict preference
215,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
216,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
217,German Shepherd,17,Roll Over,3.1,Basic,Focused but Distractible,Multiple Short Sessions per Day
218,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
219,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
220,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
221,Shih Tzu,17,Off Leash Down Stay,3,Intermediate,Quick Learner,Medium Sessions
222,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
223,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
224,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
225,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
226,Labrador Retriever,10,Off Leash Sit Stay,3.3,Intermediate,Quick Learner,Multiple Short Sessions per Day
227,Aspin,19,Down Stay,4.3,Basic,Needs More Guidance,Long Sessions
228,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
229,Beagle,18,Shake Hands,4,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
230,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
231,Shih Tzu,16,Off Leash Down,2.3,Intermediate,Working on Tricks,Long Sessions
232,Rottweiler,8,Off Leash Commands,5,Basic,Very Responsive,Multiple Short Sessions per Day
233,Golden Retriever,10,Off Leash Commands,5,Advanced,Working on Tricks,Long Sessions
234,German Shepherd,20,Loose Leash Heeling,3.3,Advanced,Focused but Distractible,Short Sessions
235,Chihuahua,19,Watch Me,4.3,Intermediate,Focused but Distractible,Long Sessions
236,Siberian Husky,18,Long Stay Off Leash,2.9,Advanced,Very Responsive,Medium Sessions
237,German Shepherd,19,Loose Leash Commands,4,Advanced,Working on Tricks,Multiple Short Sessions per Day
238,Dalmatian,19,Off Leash Down Stay,3.7,Advanced,Focused but Distractible,Short Sessions
239,Beagle,18,Fetch,2.3,Advanced,Very Responsive,No strict preference
240,Dalmatian,5,Down Stay,5,Basic,Focused but Distractible,Medium Sessions
241,Pomeranian,22,Off Leash Sit,5,Advanced,Focused but Distractible,Medium Sessions
242,Shih Tzu,3,Long Stay Off Leash,3.3,Intermediate,Focused but Distractible,Medium Sessions
243,Beagle,21,Loose Leash Commands,4.3,Advanced,Focused but Distractible,Long Sessions
244,Siberian Husky,11,Off Leash Sit Stay,2.9,Basic,Needs More Guidance,Long Sessions
245,Dalmatian,20,Off Leash Commands,4,Advanced,Quick Learner,Multiple Short Sessions per Day
246,Pomeranian,13,Off Leash Down,3.7,Basic,Quick Learner,Medium Sessions
247,Aspin,19,Off Leash Down,2.3,Advanced,Very Responsive,Multiple Short Sessions per Day
248,Doberman Pinscher,15,Sit,5,Intermediate,Quick Learner,Long Sessions
249,Pomeranian,12,Off Leash Sit,5,Advanced,Working on Tricks,No strict preference
250,German Shepherd,6,Off Leash Sit,4.2,Basic,Confident Learner,No strict preference
251,Shih Tzu,21,Sit,3.1,Advanced,Quick Learner,Multiple Short Sessions per Day
252,Dalmatian,11,Fetch,4,Advanced,Needs More Guidance,No strict preference
253,German Shepherd,21,Off Leash Down Stay,3,Advanced,Confident Learner,Long Sessions
254,Shih Tzu,12,Play Dead,3.3,Intermediate,Focused but Distractible,No strict preference
255,Labrador Retriever,4,Off Leash Sit,4.3,Intermediate,Confident Learner,No strict preference
256,Labrador Retriever,23,Heel,2.9,Advanced,Working on Tricks,Multiple Short Sessions per Day
257,Beagle,14,On and Off Sight Stay,4,Advanced,Very Responsive,Medium Sessions
258,Labrador Retriever,7,Sit,3.7,Advanced,Working on Tricks,No strict preference
259,Doberman Pinscher,17,Off Leash Sit Stay,2.3,Advanced,Focused but Distractible,Multiple Short Sessions per Day
260,Beagle,20,Shake Hands,5,Advanced,Focused but Distractible,Multiple Short Sessions per Day
261,Rottweiler,15,Long Stay Off Leash,5,Advanced,Very Responsive,Medium Sessions
262,Pomeranian,17,Sit Stay,4.2,Basic,Working on Tricks,Long Sessions
263,Golden Retriever,6,Long Stay Off Leash,3.1,Advanced,Focused but Distractible,Long Sessions
264,Bulldog,18,Off Leash Down Stay,5,Basic,Very Responsive,Long Sessions
265,Shih Tzu,10,Off Leash Sit,3.3,Advanced,Focused but Distractible,Medium Sessions
266,Doberman Pinscher,17,Roll Over,4.3,Intermediate,Focused but Distractible,Short Sessions
267,Doberman Pinscher,6,Loose Leash Walking,2.9,Advanced,Confident Learner,No strict preference
268,Pug,15,Long Stay Off Leash,4,Advanced,Confident Learner,No strict preference
269,Beagle,3,On and Off Sight Stay,3.7,Advanced,Focused but Distractible,Long Sessions
270,Bulldog,20,Off Leash Down Stay,2.3,Advanced,Focused but Distractible,Short Sessions
271,Doberman Pinscher,10,Off Leash Sit,5,Intermediate,Needs More Guidance,Short Sessions
272,Dalmatian,19,Off Leash Down Stay,5,Basic,Quick Learner,Short Sessions
273,Labrador Retriever,6,Off Leash Sit Stay,4.2,Advanced,Quick Learner,Short Sessions
274,Chihuahua,18,Heel,3.1,Intermediate,Very Responsive,Long Sessions
275,Dalmatian,21,Off Leash Sit Stay,2.9,Advanced,Quick Learner,Short Sessions
276,Pomeranian,16,Down Stay,4,Intermediate,Working on Tricks,No strict preference
277,Aspin,8,Off Leash Sit Stay,3.7,Basic,Confident Learner,Short Sessions
278,Pug,10,Shake Hands,2.3,Advanced,Quick Learner,Multiple Short Sessions per Day
279,Labrador Retriever,20,On and Off Sight Stay,5,Advanced,Needs More Guidance,Short Sessions
280,German Shepherd,19,Off Leash Down,5,Intermediate,Confident Learner,Short Sessions
281,Beagle,18,Off Leash Commands,4.2,Advanced,Focused but Distractible,Medium Sessions
282,Chihuahua,19,Off Leash Commands,3.1,Advanced,Confident Learner,Multiple Short Sessions per Day
283,Labrador Retriever,19,Loose Leash Heeling,3,Advanced,Working on Tricks,Long Sessions
284,Golden Retriever,18,Watch Me,5,Advanced,Very Responsive,Medium Sessions
285,Pomeranian,5,Long Stay Off Leash,3,Basic,Working on Tricks,No strict preference
286,Chihuahua,22,Loose Leash Commands,5,Advanced,Focused but Distractible,No strict preference
287,Rottweiler,3,Off Leash Down Stay,5,Intermediate,Focused but Distractible,No strict preference
288,German Shepherd,21,Fetch,4,Advanced,Focused but Distractible,No strict preference
289,Aspin,11,Down Stay,5,Advanced,Focused but Distractible,Multiple Short Sessions per Day
290,Golden Retriever,20,Off Leash Sit,3,Advanced,Needs More Guidance,Medium Sessions
291,Beagle,13,Long Stay Off Leash,2,Advanced,Quick Learner,Long Sessions
292,Pug,19,Loose Leash Commands,5,Basic,Quick Learner,Multiple Short Sessions per Day
293,Beagle,15,Off Leash Sit Stay,5,Advanced,Very Responsive,Medium Sessions
294,Pug,12,Off Leash Commands,3.3,Intermediate,Quick Learner,Long Sessions
295,Pomeranian,6,Off Leash Down,4.3,Advanced,Working on Tricks,Long Sessions
296,Rottweiler,21,Off Leash Down,2.9,Intermediate,Confident Learner,Short Sessions
297,Pug,11,Sit,4,Advanced,Quick Learner,No strict preference
298,Bulldog,21,Off Leash Sit,3.7,Advanced,Needs More Guidance,Medium Sessions
299,Aspin,12,Off Leash Sit,2.3,Advanced,Confident Learner,Medium Sessions
300,German Shepherd,4,Sit,5,Advanced,Focused but Distractible,Multiple Short Sessions per Day
301,Pug,23,Fetch,5,Intermediate,Confident Learner,Multiple Short Sessions per Day
302,Shih Tzu,14,Off Leash Down Stay,4.2,Basic,Working on Tricks,Multiple Short Sessions per Day
303,Golden Retriever,7,Play Dead,3.1,Advanced,Very Responsive,Short Sessions
304,Shih Tzu,17,Off Leash Sit,2,Intermediate,Working on Tricks,Multiple Short Sessions per Day
305,Labrador Retriever,20,Heel,3,Advanced,Focused but Distractible,Long Sessions
306,Pomeranian,15,On and Off Sight Stay,3,Intermediate,Focused but Distractible,Medium Sessions
307,German Shepherd,17,Sit,4,Basic,Very Responsive,No strict preference
308,Pomeranian,6,Off Leash Sit Stay,4,Advanced,Working on Tricks,Short Sessions
309,Labrador Retriever,18,Shake Hands,5,Advanced,Focused but Distractible,Long Sessions
310,Aspin,10,Long Stay Off Leash,3.3,Intermediate,Very Responsive,Short Sessions
311,Siberian Husky,17,Sit Stay,4.3,Advanced,Focused but Distractible,Multiple Short Sessions per Day
312,Beagle,6,Long Stay Off Leash,2.9,Advanced,Focused but Distractible,Long Sessions
313,Golden Retriever,15,Off Leash Down Stay,4,Advanced,Confident Learner,Medium Sessions
